0.551724138,-0.000710178,0
0.956112853,-0.0035024,0
1.084639498,-0.006432277,0
1.119122257,-0.004918064,0
1.285266458,-0.007829169,0
1.34169279,-0.006304006,0
1.699059561,-0.003131668,0
1.87460815,-0.007535087,0
1.965517241,-0.001501699,0
1.965517241,0.037420457,0
1.877742947,0.052346717,0
1.699059561,0.092676716,0
1.347962382,0.245196128,0
1.34169279,0.246690006,0
1.29153605,0.279599109,0
1.122257053,0.400772123,0
1.084639498,0.42021443,0
0.959247649,0.529433296,0
0.548589342,0.804677479,0
1.26645768,0.299047673,1
1.219435737,0.330461334,1
1.119122257,0.412746607,1
1.103448276,0.421720822,1
0.595611285,0.786736871,1
0.467084639,0.848049982,1
0.404388715,0.870473786,1
0.188087774,0.931743097,1
-0.07523511,0.967539842,1
-0.520376176,0.992766817,1
-0.087774295,1.000467717,1
0.184952978,0.999106802,1
0.398119122,0.997716166,1
0.463949843,0.997749016,1
0.592476489,0.997813151,1
1.097178683,0.996567993,1
1.103448276,0.996571121,1
1.225705329,0.996632128,1
1.272727273,0.995158586,1
